,text,label
614,"We brought this film as a joke for a friend, and could of been our worst joke to play. The film is barely watchable, and the acting is dire. The worst child actor ever used and Hasslehoff giving a substandard performance. The plot is disgraceful and at points we was so bored we was wondering what the hell was going on. It tries to be gruesome in places but is just laughable.<br /><br />Just terrible",Negative
615,"Who knew they could be so funny?? Christopher Meloni and Janel Moloney are known more for their outstanding work in some of television's hottest dramas. (""Law & Order: SVU"" and ""The West Wing"") Put them together on the big screen and what you get is an engaging romantic comedy with plenty of laughs.<br /><br />The actors develop the story's ongoing relationship with impressive skill, leaving the audience bound to fall in love with Barry Singer (Meloni), despite the fact he's a standup comic who also happens to be a mean-spirited, sexist jerk.<br /><br />You'll be rooting for him even as he takes all his insecurities with the opposite sex and chases Thea (Moloney) halfway around the country in hopes of winning her heart. They have so little in common...but when Barry finally opens his heart, you'll wonder why Thea keeps running away.<br /><br />The Souler Opposite is a wonderful movie with an incredible cast and a gifted writer. Well worth your time.<br /><br />",Positive
616,"No, I've never seen any of the ""Santa Slasher"" series, i.e. 'Silent Night, Deadly Night,' the original 'Black Christmas' or this one, 'Christmas Evil.' I've heard all about their reputation, or, MADS (Mothers Against Deranged Santas.) I thought I would rent this one as I've heard it pop up as a reference on a 'Fat Guys At the Movies' segment.<br /><br />Mothers should be against this, but not for the ooooohhhh ""killer"" Santa, but for the fact this movie was just plain crap. Boring, long  even at only 92 minutes, crap.<br /><br />Little boy sees Santa arrive down a chimney in 1947, deliver presents, eat some goodies and miraculously, float up the chimney. Boy goes to bed, but returns to living room to witness Mommy and Santa (sort of) getting it on. Apparently this messed up that kid for the rest of his life, though the scene was about as steamy as when Ralphie's dad got the ""Leg Lamp"" in 'A Christmas Story.' He was sooo disturbed, he went to the attic and, well cut his own hand.<br /><br />Fast forward to the future! Now, it's 1980 and messed up boy works in a toy factory. We get a whiff of him being a little off-kilter, and he stalks both kids and parents alike. Who's naughty, who's nice, blah blah. It takes a good two-thirds of the film to get him to finally snap  as if that's not foreshadowed from frame one. NO MOVIE should take that long.<br /><br />I will admit, this movie had its tension building, but only because I kept expecting him to do something, anything to anyone. When he finally does, well, punish ""who's naughty,"" it's as graphic as a ""Garbage Pail Kid"" card. And I haven't mentioned the WTF ending. I'm thinking it was a metaphor, but in reality, it's just as weird as the rest of the movie. (Take the brother who's upset his sibling is killing, and his solution isuh, killing.) Don't open this mess, even on Christmas Eve, or Evil. Again, I didn't watch the other ""Santa-Slashers"" but this one sucked bad. It built up suspense due to the nature of the movie and never once delivered a decent present.",Negative
617,"If derivative and predictable rape-revenge thrillers are your thing, then you're in for a rare treat... They don't really appeal to me, so I couldn't find any single thing to redeem this peculiar tale. It seems like something straight out of the 1980s, a different age when this would have gone straight to video. Gillian Anderson and Danny Dyer do OK work with a weak script and a tedious scenario. But what is Gillian Anderson doing getting involved with a film like this after the brilliance of her performance as Lady Deadlock in the BBC TV adaptation of Bleak House last year? The director is said to have been influenced by witnessing a near-rape and by his work on documentaries, but even that's not an excuse for the bizarre scene where a pack of rural hounds beat up Dyer. I don't think I was the only person in the cinema laughing. What I can't understand is the involvement of the companies behind this film - FilmFour and Verve Pictures. Both have been involved in some great independent British films in recent years. Verve distributed Bullet Boy, Code 46 and Red Road - Straightheads doesn't deserve to be mentioned in the same breath. FilmFour and Verve take note: is this really the best you can do? What are independent British filmmakers going to make of your artistic judgement? It's a big blot on both of your reputations. Listen carefully: can you hear the thousands of fans of independent British films crying in despair?",Negative
618,"I had watched several days film shooting of this movie that summer,the end result was just two scenes in the movie. The location was Sylvan Lake in the Black Hills. Bring the wagon,stop the wagon etc . So this Dakota youth looked forward to seeing the movie and was not disappointed. The local buffalo herd was being culled so the shooting scenes were for real. (yes Doris, animals were hurt during filming) I think the ending was copied by Jack Nicholson in the Shining? A great western/social comment from the 50's. This should be in the same class as High Noon for real western drama or used as a social statement like Blackboard Jungle or Rebel Without A Cause was for 50's youth.",Positive
619,"A reasonable effort is summary for this film. A good sixties film but lacking any sense of achievement. Maggie Smith gave a decent performance which was believable enough but not as good as she could have given, other actors were just dreadful! A terrible portrayal. It wasn't very funny and so it didn't really achieve its genres as it wasn't particularly funny and it wasn't dramatic. The only genre achieved to a satisfactory level was romance. Target Audiences were not hit and the movie sent out confusing messages. A very basic plot and a very basic storyline were not pulled off or performed at all well and people were left confused as to why the film wasn't as good and who the target audiences were etc. However Maggie was quite good and the storyline was alright with moments of capability.<br /><br />4.",Negative
620,"First of all yes I'm white, so I try to tread lightly in the ever delicate subject of race... anyway... White People Hating Black people = BAD but Black People Hating White people = OK (because apparently we deserved it!!). where do i start? i wish i had something good to say about this movie aside unintended comedy scenes: the infamous scene were Ice Cube and co. get in a fight with some really big, really strong, really really angry and scary looking Neo-Nazis and win!!! the neo-Nazi where twice the size :), and the chase! the chase is priceless... This is NOT a movie about race, tolerance and understanding, it doesn't deliver... this is a racist movie that re-affirm all the cliché stereotypes, the white wimpy guy who gets manhandled by his black roommate automatically transform in a skinhead...cmon simply awful I do regret ever seeing it.<br /><br />Save your time and the dreadful experience of a poorly written ,poorly acted, dull and clearly biased picture, if you are into the subject, go and Rent American History X, now thats a movie",Negative
621,"Allen goes to the country (somewhere he hates going in real life) and has a weekend with his friends - which are the usual successful white middle-class bellyaching types that feature in many of his films.<br /><br />I usually find something to amuse in Woody Allen comedies, but here he really falls totally flat on his face. Even the one-liners seem to have deserted him. The really is no plot (bar bits and pieces of cod Shakespeare) - but Allen seems to use the location to allow a semi-mystical air, which just makes the thing even more witless and half-baked.<br /><br />It just doesn't work at any level and is just a giant bore. The best thing about this film (apart from the end credits coming up) is that the bad reviews seem to get him to wake up and realise that simply throwing together a slapdash script and casting your mates in it doesn't make for entertainment.",Negative
622,"Knowing how old a film is, ought to prepare the viewer for a few things, and, with those things in mind, perhaps the movie'll be more tolerable. So it was when I watched Revolt of the Zombies. The heavy reliance on tedious dialogue and corny movements should be expected, as should the primitiveness (or absence) of special effects in those days. A great deal is asked from the imagination of the onlooker - maybe too much, in this case. And the plot isn't easy to follow: Some zombiefied southeast Asian soldiers in WWI performed very admirably. Although skeptical as to why, if true, the explanation should stay out of the wrong hands, so, off goes a group to archaeologically investigate. The key to long-distance hypnosis is learned by a member of the expedition, who uses it to, among other purposes, temporarily dispense with the beau of the gal for whom he has the hots. To prove his love for her, he gives up his hold on everybody, which he shouldn't have done 'cause, once they're all unzombiefied, many want to kill him so that he'll never control them again. Below average, even with precautionary forethought. Recommended for only the extremely patient.",Negative
623,"This movie is suppose to be a mysterious, serious thriller about a man looking for a missing girl. However, 30 minutes into the movie, it turns into a funny, unrealistic story with annoying characters and random scenes. I can't imagine anyone not laughing when Cage randomly Karate kicks that blonde girl or when he ""bear"" punches that old lady. The lines, characters, and acting are all poorly done from the get-go. I've always liked Nicolas Cage as an actor, but he has made some terrible movies this year; this being by far the worst one (yet...).<br /><br />I wouldn't recommend this movie to anyone who wants to watch an intense story-gripping thriller. If you really want to enjoy this story, go rent the original. However, if you intend on watching it, get ready to laugh at some of the lines and end scenes rather than taking them seriously; that's the only way you enjoy this film.",Negative
624,"Seriously what were they thinking? Over the course of years the Columbo series has tried out some new things and diverted away from the usual successful formula but this movie really overdoes it. This movie is basically very different from any other Columbo movie but the differences are not for the good of the movie.<br /><br />Main thing that of course makes this movie different from any other Columbo movie is the fact that there is no murder being committed. The entire premise of this movie is totally different and it places the Columbo character in a totally different environment and situation. Also the overall is just totally different and more 'modernized'.<br /><br />Director Alan J. Levi did some other Columbo movies in the past, which all very much sticked to the usual formula. It also makes it an odd choice that he got picked to direct this movie.<br /><br />The Columbo character himself also feels quite different, perhaps because of the reason that he gets placed in a totally different environment and situation, when he helps out his nephew after his bride disappeared right after the wedding. The absence of some good relieving and trademark Columbo humor also doesn't exactly make this a good or enjoyable watch.<br /><br />In all honesty, the movie doesn't begin too bad but the movie starts to become more and more ridicules with its story as it progresses. It's such a stupid written kidnap-thriller with a story that starts to become more and more unlikely. It also makes the movie more and more unwatchable. This is a very little interesting Columbo entry that also really doesn't know to entertain its viewers in any way.<br /><br />It also doesn't help much that the supporting actors aren't the most talented ones around. Despite the fact that his character is put in such a totally different situation and the movie is shot in such a completely different style, Peter Falk still holds up well and his presence still somewhat saves this movie. Can you just imaging how this movie would had been without him? It would had been an extremely bad and ridicules cheap movie I can tell you.<br /><br />An odd Columbo entry, which could be described as a failed experiment to divert from the usual formula.<br /><br />4/10",Negative
625,"Richard Dix decided to retire and so Michael Duane took his place playing the role as Ted Nichols who meets up with a young French girl named Alice Dupres Barkley, (Lenore Aubert). This couple only knew each other for two days and they decided to get married by a Justice of the Peace (Judge) and it is pouring rain when they pull up to the Judge's home and find out he is not home and will not return until the next day. As the couple are inside the house you see some one lift up the hood of their car and takes an automobile part from the engine. Once you see this event happening you realize this couple is in for a big surprise and the story beings to reveal a very mysterious event which surrounds Alice Barkley and so poor Ted Nichols starts out with plenty of trouble and no marriage. Good mystery, but I missed Richard Dix. Enjoy.",Positive
626,"When this movie first came out back in 1984, Prince was one of the hottest acts around. Everyone wanted to see this movie, which was not much more than a extended music video. The acting was pretty bad, but what can you expect from musicians acting on the big screen for the first time? Despite that, it was still a very entertaining film! Morris Day and Jerome Benton provide some all time classic comedy, especially their rendition of ""The Password"", which will make you think of Abbott & Costello doing their ""who's on first"" baseball routine.<br /><br />Appolina (who went by a single name then) provided some beautiful breasts, so you had the brief nudity covered. Plus, she is very attractive. And of course, the soundtrack of the album is one of the best Prince ever recorded. Prince later on had a fallout with Warner Bros. and changed his name, but at this particular time in his career, he was at the top of his game.<br /><br />This movie doesn't rank in the all time great category, but it is pretty entertaining.",Positive
627,"My parents took me to this movie when I was nine years old. I have never forgotten it. I had never before seen anything as beautiful as Elizabeth Taylor. (She was twenty-two when she made Elephant Walk) Remember, I'm nine, so the feelings aren't sexual, I just couldn't see anything else on the screen. I just wanted to sit at her feet like a puppy and stare up at her. She has begun to show her age, (She's almost seventy-four) but I still believe her to be one of the most beautiful and breathtaking women to ever have lived.<br /><br />I have seen the movie several times since, and it is a sappy melodrama. What saves it is, of course, Miss Taylor's beauty, magnificent scenery, the very impressive elephant stampede, and a well-made point on human arrogance in the face of nature.<br /><br />All in all, a well-spent couple of hours watching the movie channel or a rented video.",Positive
628,For his first ever debut this film has some riveting and chilling moments. In the best horror film fashion the pit of your stomach tightens every moment during this film. The ending is superb. The makers of Blaire Witch obviously watched this film it's ending wasn't an end but a beginning of the end. A great movie and only a piece of Japan's great as far as scare factor a perfect score it makes you think and scared out of your mind.,Positive
629,"(SPOILERS IN THIS)<br /><br />""Rosenstraße"" is a movie about heroic women in German Nazi time. But it is way too long, it is not touching and sometimes even boring! There are too many clichés and not enough good acting.<br /><br />The storytelling (storyline) is bad. Like in James Cameron´s Titanic an old woman remembers events of her live. Good, now we´ve got a point of view. Than there is another woman introduced who does the same. Confusing is that they both are recalling events of lifes of other people! Come on! This is a lack of knowledge of basic story telling...How can Riemann know about the fate of the little girl´s mother and her interrogation for example?<br /><br />The scenes are shown in the wrong order and you rarely know when it took place. For example the scene when Riemann is proposing to Fabian. When did that happen? The scene looks like it is set in the Twenties...<br /><br />Riemann´s character is of course a talented pianist, well, she is even a Baroness! Wow. Her brother comes back from the Eastern Front, he has received a ""Ritterkreuz"" which he is showing in some scenes. So he is a war hero and still a fine man who preserved his conscience. And he gained knowledge of massacres committed by Germans. He even made some photographs! And so it goes, cliché after cliché is piling up and this is why the movie does not work.<br /><br />Basically von Trotta made a chick flick out of something what could have been a decent movie. And in the end it´s all very simple. Riemann finds a way to get Goebbels into bed and - ta da! - everyone is free. Which is not a historical fact but pure imagination despite the ""true story"" claim at the beginning. Like ""Sass"" it is vaguely BASED on a true event.<br /><br />It is sad but true, this IS the typical German movie these days. It is bad! Macaulay J. Connor<br /><br />",Negative
630,"Kimi wa petto is a cute story about a girl who one day finds a boy inside a box that is outside her apartment one day. She decides to bring him in and fix his cuts. She then leaves a note for him to eats some food she made then go home because she had to go to work. When she gets home however she finds that he is still there. He tells her that he wants to live there with her like a brother or cousin. In desperation to get him to leave she tells him that if he became her pet then he could stay. And as a pet she says that he would have no rights and do whatever she told him. (not in that perverted way!) To her surprise he agrees and from then on he is known as Momo, her pet.",Positive
631,"This is to the Zatoichi movies as the ""Star Trek"" movies were to ""Star Trek""--except that in this case every one of the originals was more entertaining and interesting than this big, shiny re-do, and also better made, if substance is more important than surface. Had I never seen them, I would have thought this good-looking but empty; since I had, I thought its style inappropriate and its content insufficient. The idea of reviving the character in a bigger, slicker production must have sounded good, but there was no point in it, other than the hope of making money; it's just a show, which mostly fails to capture the atmosphere of the character's world and wholly fails to take the character anywhere he hasn't been already (also, the actor wasn't at his best). I'd been hoping to see Ichi at a late stage of life, in a story that would see him out gracefully and draw some conclusion from his experience overall; this just rehashes bits and pieces from the other movies, seasoned with more sex and sfx violence. Not the same experience at all.",Negative
632,"What an overlooked 80's soundtrack. I imagine John Travolta sang some of the songs but in watching the movie it did seem to personify everything that was 80s cheese. Clearly movies that rely on mechanical bulls, bartenders and immature relationships were in style. The best was his lousy Texas accent. Compare that to Friday Night Lights.I suggest watching Cocktail and Stir Crazy to start really getting into the dumbing down of film. Also, as a side note Made in America with Ted Danson and Whoopie Goldberg is an awesomely bad movie. I was so shocked to realize I had never watched it. One more weird movie of this genre would have to include Cadilac Man with Robin Williams. Just remember all of these BIG stars played big roles in these CHEESY movies.. Tom Cruise, Richard Pryor, Robin Williams and John Travolta",Positive
633,"This Chinese movie made me feel so many similarities with members of a culture I don't belong and are far from. In an almost Buddhist approach, the film helps one to relate to each character, and to the happiness of doing the simple routine things.<br /><br /> All actors are brilliant, and Xu Hzu exudes kindness and wisdom, yet also vulnerable and mean. Er Min, the retarded brother, shows us that intelligence and wisdom are not equal, and that wisdom comes to and from the most disparate persons in this universe. A different China, this is far from the Chinese realism, yet, it has lots of humanity and realism of a different kind.<br /><br />Get it. You won't be disappointed.",Positive
634,"This movie is pretty awful but I have some interesting information about it:<br /><br />It was filmed in 1976 at Northern Arizona University in Flagstaff, AZ, as well as at Oak Creek Canyon near Sedona, AZ. A good bulk of the extras in the film are then-drama students from NAU. I was a freshman there that year, minoring in theatre, but for some reason I didn't get involved with the production. I did however know several people who did and can supply this rather odd fact:<br /><br />There is a scene in this movie where two of the principals, as part of their hazing ritual, have to run naked into the woods. They are seen from behind in the movie, doing just that. The thing is, those aren't the actors at all but two guys I knew from the theatre department. The identity of these ""stunt posteriors"" will remain anonymous, at least to this website, unless they decide to, um, ""reveal"" themselves!",Negative
635,"I love Anthony Hopkins as an actor so I was very interested to see how he would do as a writer/director. I could not have been more disappointed by this move. The movie was so disjointed and the cinematography was so over done to the point I wanted to pull the plug out of the wall. The actors were very good but it was such a waste of talent. Not all actors are cut out to be writers or directors and clearly Mr. Hopkins falls into this category. Of all the movies I have ever seen in my 50 years, this is absolutely the worst movie ever. Please do us all a favor Mr. Hopkins and stick to acting, which you are excellent at, and leave the writing and directing to those who are talented in those areas. If I could give this movie a rating less than one I certainly would.",Negative
636,"I think Micheal Ironsides acting career must be over, if he has to star in this sort of low budge crap. Surely he could do better than waste his time in this rubbish.<br /><br />This movie could be far better, if it had a good budget, but it shows repeatedly through-out the movie. There is one scene at a outpost, which looks like, its outside the front of a railway station, and i bet it was.<br /><br />There is one scene which made give this movie a 3, and it shows the space craft landing and taking off over a lake, surrounded by forests. This was well done, but the rest of the movie, forget it.<br /><br />There is another scene, which looks like a engineering plant, which i bet it, and does not look like a space outpost as the character say it is.<br /><br />This movie is stupid, has a serious low budget, makes no sense and God Help Micheal Ironsides.",Negative
637,"I saw this film last night on cable and it is extraordinary. What I love most about it is that it is understated and low-key, but deeply heartfelt. Henry Thomas' (he played the child in E.T.) performance is masterfully inarticulate (he is supposed to be a man of few words). David Straithern is a wonderful crazy villain. And miraculously (given that we're talking about a Hollywood product here) a baby serves as a main character, but one who doesn't act or have lines, but rather just IS (& is luminous at that). Interesting to note that Thomas' mysterious relationship w. E.T. was the core of that film; while his bond w. the baby serves as the core of ""A Good Baby.""<br /><br />Then there is the music--ah, what music!! Gillian Welch's tunes are wonderful & the entire score is gorgeous hill country music.<br /><br />This film is wonderfully atmospheric. I recommend it highly.",Positive
638,"This film is probably pro-Muslimization. <br /><br />Why do I write that? The main character has a Muslim father and a Christian mother. He lives his first 20 years in a Christian village. In the end of the film he seemingly is a Muslim because of his head-wear, that he has kept his amulet, and his general clothing. He has a six year old child, who wears the same head-wear and therefore is probably a Muslim, although the mother is a Christian. The main character thus chooses to, it seems, to be a Muslim and his child becomes a Muslim. No one of the other male main characters, which are Christians, seems to breed a child. There are more Muslims in the world of this movie at the end of it, it therefore seems.",Negative
639,"Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen. They remain among the most popular animated films of all time. The first was his groundbreaking classic ""Snow White and the Seven Dwarfs"" released in 1937. The last was the then-under appreciated ""Sleeping Beauty"" which made it's debut in 1959. In between these two was perhaps his most satisfying adaptation of a classic fairy tale: ""Cinderella"" (1950). Of the three films, ""Cinderella"" is the one most faithful to its origins. Ironically, unlike ""Snow White"", which for better or worse, became for many the definitive version of the story. ""Cinderella"" did not follow the same path. Although it was a hit and, like ""Snow White"", was responsible for restoring the dwindling Disney fortunes, it never achieved the same audience recognition which it certainly deserved. Disney, for once, did himself proud, electing not to tamper with a classic, instead elaborating and adding substance to the tale, rather than rewriting it for the screen. The result was enchanting. <br /><br />A combination of superb animation (in beautifully soft Technicolor) and the perfect voice talents brought the story to life with a radiance that endures to this day. Ilene Woods, who was a radio performer, recorded demonstration discs of the songs as a favor to the authors of the material, Al Hoffman, Mack David, and Jerry Livingston. When Disney heard them, he knew he had found his Cinderella. And indeed he had. Woods heartfelt renditions of ""A Dream Is A Wish Your Heart Makes"", ""So This Is Love"" and ""Oh Sing Sweet Nightingale"" are perfect. Eleanor Audley, who would go on to voice Maleficent in ""Sleeping Beauty"", masterfully captured the icy cruelty of the stepmother, while Rhoda Williams and Lucille Bliss were convincingly nasty stepsisters. Luis Van Rooten admirably performed as both the King and the Grand Duke, and James Macdonald was endearing as both Jaq and Gus, Cinderella's devoted mice. William Phipps has little dialog as the prince (future talk show host Mike Douglas provided his singing voice) but film (and Disney) veteran, Verna Felton was born to play the fairy godmother, and she made the best number, (the Oscar-nominated ""Bibbidi-Bobbidi-Boo"") her own show-stopper. <br /><br />Among the artists responsible for the ""look"" of the film, was Mary Blair, whose inspired use of color was greatly admired by Disney. Her elegant French-period backgrounds add tremendously to the quality of the movie. But, most important of all' are the believable characters--from Cinderella, right down to Lucifer, the stepmother's deliciously evil cat. They bring both life and vibrancy to the often told story, something very difficult to create in an animated film.<br /><br />In conjunction with the film's 55-year anniversary, (and, not so coincidentally, the coming holiday season) ""Cinderella"" has just been released on a special edition DVD. It simply has never looked better. The fully restored film must be seen to be appreciated--suffice it to say, it looks wonderful. An enhanced stereo soundtrack has been added, and serves the music well. The DVD extras, now a standard part of Disney Platinum Editions, are too numerous to list here, but as usual, some are directed towards children, some are slanted to adults, and the rest fall somewhere in between. But real fans will want to get the Deluxe Gift Set, because, along with an actual cell from the film and eight character sketches, it includes a 160-page hardback book, which not only incorporates most of the material found in the book with the 1995 special edition home video release, but much more as well. As usual for Disney, ""Cinderella"" will only be available for a limited time. So, if like me, you are a ""Cinderella"" lover, get it NOW! This edition is truly a ""Dream Come True.""",Positive
640,"TV does influence society...just look at the surge in popularity of cappucino shops after this shallow little piece of work debuted. Besides, real people who look as good as these people do don't have any problems.<br /><br />Besides, does anyone really believe that these people can afford to live in a nice Manhattan loft considering what they do for a living? NBC just loves to insult the viewer's intelligence, even if they're just around Gump's level. I know a person who makes $100,000 a year as a web designer and lives in a tiny one-bedroom apartment in Manhattan that costs $2200 a month in rent. <br /><br />I'd like to see a show called Phriends, where it's six ugly nobodies in dead-end jobs, living in a crummy neighborhood where sirens constantly wail and someone gets mugged every week...and then the landlord jacks up the rent. Now THAT I would watch.",Negative
641,"For the initial 20 minutes or so (I was watching it on a PS2 so I've really no idea how long it took) Alienator sets up an interesting premise. I don't think I've seen a slasher movie with an alien from another planet as the baddie before. However, interest soon turns into stunned disbelief as you realise the 'alien' is a huge body-builder woman in a steel bikini. Yes, Alienator is patently ridiculous.<br /><br />Don't think I hold that against it. In the world of shlock-horror, patently ridiculous can often be a good sign. However, the blatant stupidity of its premise is all the movie really has going for it. Alienator is funny as hell, but it is also a shambolic suckfest of the highest order. Actors heap on failed attempts at seriousness, potentially genius lines of pure cheese dialogue are stumbled over with unnerving incompetence and the direction fails to sum up even one or two decent set-pieces. By the time the movie's finished you can barely see the original concept through the haystack of total tripe the team piled on it.<br /><br />Add to this the fact that the 'Alien' just kills people by vaporising them, as opposed to doing any 'slashing' as such and you have a giant throbbing heap of good ideas being left to rot. You'll laugh at Alienator, but AT it, not with it. If that's your thing then go ahead and check it out.",Negative
642,"I was hoping for some sort of in-depth background information on the Apollo 11 mission and what I got was some decent interview material with Buzz Aldrin Gene Krantz and other people involved in the mission, linked by over-hyped disaster-predicting sensationalising voice-over in the worst tradition of TV production.<br /><br />If you could cut out the voice-over and change the spin of the program to a positive testament of how people can overcome setbacks to achieve a goal out of the ordinary then this could've been great - but I feel I've wasted about 45 minutes of my life whilst watching a 60 minute programme. I want those minutes back.",Negative
643,"I must be that one guy in America that didn't like this movie. I guess this just wasn't my style or something, I just don't see what's so fascinating about it, this was *barely entertaining, let alone one of the greatest achievements in cinema history. <br /><br />It's about a guy that came from nothing, and goes on to become a drug lord. Pretty simple way to describe an entire movie, and that's exactly my feeling about the entire movie. Contrary to what a lot of people think, just because a movie is about mafias/drug trade/criminal groups doesn't automatically make it a great movie, don't forget good storytelling.",Negative
644,"I have seen many good Korean Movies including thrillers and movies with darker overtone, but this one sucks. The director seems to be a sadist, who happened to get someone to produce some junk. The movie lacks any sort of entertainment value and is not even a thriller. I can't believe someone really made such a movie. Even though acting is OK, the story line and the feeling it leaves is awful.<br /><br />I am sure, I am not going to see any movies of this director. No sense of movie making, and utter disappointment in having thriller moments. All this has is showing scenes with psychopath wasting the reels with badly shot scenes and showing more blood and violence thinking that makes it thrilling. Very disappointing movie and I strongly recommend skipping all the movies of this sort.",Negative
645,"One of the best ""Amitabh comeback"" movies I liked. This was the phase when Govinda was going strong with Dhawan. The songs were awesome and totally as we call it ""masti"" type. An evergreen entertainer with the likes of the multifaceted Anupam Kher chipping in. The story line has a lot of hilarious twists and turns as is known for David Dhawan's potboilers. With a timely appearance by Mrs.Madhuri ""Nene"" Dixit, it was a total riot towards the end. It was great to see Amit perform with such force and humor after a long exile. Although some may consider it a typical ""Bollywood Masala"" movie, I would watch it any day. I am giving it an easy 8 out of 10 just for being pure Bollywood.",Positive
646,"good lord! (and that coming from an atheist), this ""movie"" is bad !<br /><br />much has already been said by the reviewers before (the ones who rated this piece 3 and below) to which I fully agree, I just like to add a few things: <br /><br />among the three guys who had to eat their own digestive end products, got chopped up by an Axe, raped by a broomstick, had their balls blown away - the ex-boyfriend suffers the worst torture while having to listen to the girl's endless and pointless babble at the kitchen table (as do we, but at least we have the mercy of the mute button).<br /><br />had the director cut out the point- and endless graveyard and inverted scenes, our suffering would have been over after 30 minutes.<br /><br />the only things that made this flick at least somewhat bearable are Emily Haack's tits (one point).<br /><br />forget it. don't buy it. don't waste your time. and your sanity. my brain is so fried after watching this I feel the urgent need to watch (and suffer?) ""Scrapbook"" right now.",Negative
647,"I, like many die-hard Trekkers (or Trekkies, i don't care!) suffered through seven seasons of ""Star Trek Voyager"", dreaming of a better show when it was over, lamenting the end of ""Deep Space Nine"" in 1999. prayers, answered. ""Enterprise"" is fantastic. Fresh perspective, radically different characters, stunning new visuals, a pop-song for the intro. (I was shocked!) I can't think of anything I didn't like. sign me up for 10 seasons of this show. ""Star Trek"" is back - ""Voyager,"" nobody misses you! Keep on Trekkin'!<br /><br />>",Positive
648,"From the excellent acting of an extremely impressive cast, to the intelligently written (and very quotable) script, from the lavish cinematography to the beautiful music score by Carter Burwell, Rob Roy offers a rarity in movie going experiences: one that is nigh impossible to find fault with in any area.<br /><br />There have been several comparisons made with Braveheart, which came out the same year. With all due credit to Mel Gibson, Braveheart struck me as too much of a self-conscious and preachy epic to rival Rob Roy as the kind of movie I would care to see more than once. While Braveheart works hard to be a serious epic, Rob Roy just grabs you and absorbs you into its tightly edited storytelling. Not a single scene is wasted.<br /><br />Rob Roy contains the perfect balance of dramatic tension, action and even occasional humor. The characters are well fleshed-out, perfectly conveying vernacular and mannerisms that anchor them in their authentic period setting.<br /><br />Further, they are not caricatures of good and evil as we all too often observe in even modern film.<br /><br />For example, while we hope the heroic Rob Roy prevails, we realize his predicaments are products of his own pride and sense of honor. Tim Roth plays one of the most hateful bad guys in the history of cinema, yet there are moments when we can understand how the events of his life have shaped him into becoming what he is. Rob Roy employs a level of character development that makes its story even more believable and gripping.<br /><br />Rob Roy is a delightful treasure, featuring one of the greatest sword fights ever choreographed and a climatic ending worthy of all the tense anticipation.",Positive
649,"Many of the criticisms on this thread seem to pick a comparison of this film with ""The Mortal Storm"" or ""Casablanca"". Everyone is entitled to compare films they choose, but the similarities of ""The Mortal Storm"" and ""Watch On The Rhine"" are clearly the problems of refugees threatened by the Nazi juggernaut, while the main comparative point brought out with ""Casablanca"" is the seeming unjust treatment of Humphrey Bogart in 1943 by the Academy of Motion Picture Arts and Science, because they chose Paul Lukas instead for the Best Actor Oscar. It does not strike me as totally wrong. Lukas had a good career in film (both here and in England - he is the villain in ""The Lady Vanishes""), and this performance was his best one. Bogart had more great performances in him than Rick Blaine (for instance, he was ignored for Sam Spade in ""The Maltese Falcon"" and Roy Earle in ""High Sierra"" two years earlier, both of which were first rate performances, and he would not get an Oscar for his greatest performances as Fred C. Dobbs in ""The Treasure Of Sierra Madres"", the writer/murder suspect in ""In A Lonely Place"", and Captain Philip Francis Queeg in ""The Caine Mutiny"" afterward - he got it for Charley in ""The African Queen""). I think that Bogie should have got it for the role of Dobbs, but it did not happen. But Lukas was lucky - he got it on the defining performance of his lesser career. Few can claim that.<br /><br />To me the film to look at with ""Watch On The Rhine"" is based on another play/script by Hellman, ""The Searching Wind"". They both look at America's spirit of isolationism in the 1920s and 1930s. ""The Searching Wind"" is really looking at the whole inter-war period, while ""Watch On The Rhine"", set in the years just proceeding our entry into World War II, deals with a few weeks of time. Therefore it is better constructed as a play, and more meaningful for it's impact. <br /><br />The film has many good performances, led by Lukas as the exhausted but determined anti-Nazi fighter/courier, Davis as his loyal wife (wisely keeping her character as low keyed as possible due to Lukas being the center of the play's activities), Coulouris as the selfish, conniving, but ultimately foolish and ineffective Teck, Lucille Watson as the mother of Davis and Geraldine Fitzgerald (as Coulouris' wiser and sadder and fed up wife), and Kurt Katch, who delivers a devastating critique (as the local embassy's Gestapo chief) about Coulouris and others who would deal with the Nazis. It has dialog with bite in it. And what it says is quite true. It also has moments of near poetry. Witness the scene, towards the end, when Coulouris is left alone with Lukas and Davis, and says, ""The New World has left the scene to the Old World"". Hellman could write very well at times.<br /><br />Given the strength of the film script and performances I would rate this film highly among World War II films.",Positive
650,"Certain elements of this film are dated, of course. An all white male crew, for instance. And like most Pre-Star Wars Science Fiction, it tends to take too long admiring itself.<br /><br />But, still, no movie has ever capture the flavor of Golden Age Science Fiction as this one did, even down to the use of the ""electronic tonalities"" to provide the musical score. Robbie the Robot epitomized the Asimov robots, and was the inspiration for all that followed, from C3PO to Data.<br /><br />The plot line, of course, is Shakespeare's ""The Tempest"". Morbius is Prospero, and exiled wizard who finds his kingdom invaded by interlopers... It was a movie that treated Science Fiction as an adult genre, perhaps the first.",Positive
